dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
41_Waveform,500,IForest,0.0,0,random,True,0.6987066431510875
41_Waveform,500,IForest,0.0,1,random,True,0.6756013745704468
41_Waveform,500,IForest,0.0,2,random,True,0.8586125808348031
41_Waveform,500,IForest,0.0,3,random,True,0.7166372721928278
41_Waveform,500,IForest,0.0,4,random,True,0.8036449147560258
41_Waveform,500,IForest,0.0,0,random,False,0.6835684891240447
41_Waveform,500,IForest,0.0,1,random,False,0.6699656357388316
41_Waveform,500,IForest,0.0,2,random,False,0.8399470899470899
41_Waveform,500,IForest,0.0,3,random,False,0.7307466196355086
41_Waveform,500,IForest,0.0,4,random,False,0.746031746031746
41_Waveform,500,IForest,0.0,0,uncertainty,True,0.7297178130511464
41_Waveform,500,IForest,0.0,1,uncertainty,True,0.735807560137457
41_Waveform,500,IForest,0.0,2,uncertainty,True,0.8059964726631393
41_Waveform,500,IForest,0.0,3,uncertainty,True,0.7504409171075839
41_Waveform,500,IForest,0.0,4,uncertainty,True,0.7579365079365079
41_Waveform,500,IForest,0.0,0,uncertainty,False,0.7031158142269254
41_Waveform,500,IForest,0.0,1,uncertainty,False,0.6808247422680412
41_Waveform,500,IForest,0.0,2,uncertainty,False,0.7767489711934156
41_Waveform,500,IForest,0.0,3,uncertainty,False,0.7001763668430335
41_Waveform,500,IForest,0.0,4,uncertainty,False,0.7530864197530864
41_Waveform,500,IForest,0.0,0,anomalous,True,0.6732804232804233
41_Waveform,500,IForest,0.0,1,anomalous,True,0.7576632302405497
41_Waveform,500,IForest,0.0,2,anomalous,True,0.8422986478542034
41_Waveform,500,IForest,0.0,3,anomalous,True,0.812610229276896
41_Waveform,500,IForest,0.0,4,anomalous,True,0.7436801881246325
41_Waveform,500,IForest,0.0,0,anomalous,False,0.729864785420341
41_Waveform,500,IForest,0.0,1,anomalous,False,0.6980068728522337
41_Waveform,500,IForest,0.0,2,anomalous,False,0.7660199882422105
41_Waveform,500,IForest,0.0,3,anomalous,False,0.7614638447971781
41_Waveform,500,IForest,0.0,4,anomalous,False,0.8064373897707231
41_Waveform,500,IForest,0.0,0,clusters,True,0.7051734273956496
41_Waveform,500,IForest,0.0,1,clusters,True,0.7110652920962199
41_Waveform,500,IForest,0.0,2,clusters,True,0.7965902410346855
41_Waveform,500,IForest,0.0,3,clusters,True,0.7710170487948266
41_Waveform,500,IForest,0.0,4,clusters,True,0.7771898883009994
41_Waveform,500,IForest,0.0,0,clusters,False,0.7297178130511464
41_Waveform,500,IForest,0.0,1,clusters,False,0.754364261168385
41_Waveform,500,IForest,0.0,2,clusters,False,0.807907113462669
41_Waveform,500,IForest,0.0,3,clusters,False,0.7757201646090535
