dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
43_WDBC,183,IForest,0.0,0,random,True,rbf,0.9832402234636872
43_WDBC,183,IForest,0.0,1,random,True,rbf,0.9854748603351956
43_WDBC,183,IForest,0.0,2,random,True,rbf,0.9977653631284916
43_WDBC,183,IForest,0.0,3,random,True,rbf,0.9720670391061452
43_WDBC,183,IForest,0.0,4,random,True,rbf,0.9977653631284916
43_WDBC,183,IForest,0.0,0,random,False,rbf,0.9832402234636872
43_WDBC,183,IForest,0.0,1,random,False,rbf,0.9921787709497206
43_WDBC,183,IForest,0.0,2,random,False,rbf,0.9977653631284916
43_WDBC,183,IForest,0.0,3,random,False,rbf,0.9720670391061453
43_WDBC,183,IForest,0.0,4,random,False,rbf,0.9955307262569832
43_WDBC,183,IForest,0.0,0,uncertainty,True,rbf,0.9832402234636872
43_WDBC,183,IForest,0.0,1,uncertainty,True,rbf,0.9810055865921788
43_WDBC,183,IForest,0.0,2,uncertainty,True,rbf,0.9966480446927375
43_WDBC,183,IForest,0.0,3,uncertainty,True,rbf,0.9810055865921787
43_WDBC,183,IForest,0.0,4,uncertainty,True,rbf,0.9944134078212291
43_WDBC,183,IForest,0.0,0,uncertainty,False,rbf,0.987709497206704
43_WDBC,183,IForest,0.0,1,uncertainty,False,rbf,0.9832402234636871
43_WDBC,183,IForest,0.0,2,uncertainty,False,rbf,0.9955307262569832
43_WDBC,183,IForest,0.0,3,uncertainty,False,rbf,0.9798882681564246
43_WDBC,183,IForest,0.0,4,uncertainty,False,rbf,0.9955307262569832
43_WDBC,183,IForest,0.0,0,anomalous,True,rbf,0.9899441340782124
43_WDBC,183,IForest,0.0,1,anomalous,True,rbf,0.9854748603351955
43_WDBC,183,IForest,0.0,2,anomalous,True,rbf,0.9955307262569832
43_WDBC,183,IForest,0.0,3,anomalous,True,rbf,0.9776536312849162
43_WDBC,183,IForest,0.0,4,anomalous,True,rbf,0.9832402234636872
43_WDBC,183,IForest,0.0,0,anomalous,False,rbf,0.9843575418994414
