dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
46_WPBC,99,IForest,0.0,0,random,True,rbf,0.5148741418764302
46_WPBC,99,IForest,0.0,1,random,True,rbf,0.5638888888888889
46_WPBC,99,IForest,0.0,2,random,True,rbf,0.5371853546910755
46_WPBC,99,IForest,0.0,3,random,True,rbf,0.46109839816933634
46_WPBC,99,IForest,0.0,4,random,True,rbf,0.4616704805491991
46_WPBC,99,IForest,0.0,0,random,False,rbf,0.4931350114416476
46_WPBC,99,IForest,0.0,1,random,False,rbf,0.5327777777777778
46_WPBC,99,IForest,0.0,2,random,False,rbf,0.5623569794050343
46_WPBC,99,IForest,0.0,3,random,False,rbf,0.4387871853546911
46_WPBC,99,IForest,0.0,4,random,False,rbf,0.4582379862700229
46_WPBC,99,IForest,0.0,0,uncertainty,True,rbf,0.47482837528604116
46_WPBC,99,IForest,0.0,1,uncertainty,True,rbf,0.5783333333333334
46_WPBC,99,IForest,0.0,2,uncertainty,True,rbf,0.5760869565217391
46_WPBC,99,IForest,0.0,3,uncertainty,True,rbf,0.43649885583524023
46_WPBC,99,IForest,0.0,4,uncertainty,True,rbf,0.46510297482837526
46_WPBC,99,IForest,0.0,0,uncertainty,False,rbf,0.5034324942791761
46_WPBC,99,IForest,0.0,1,uncertainty,False,rbf,0.5333333333333333
46_WPBC,99,IForest,0.0,2,uncertainty,False,rbf,0.5675057208237987
46_WPBC,99,IForest,0.0,3,uncertainty,False,rbf,0.4078947368421052
46_WPBC,99,IForest,0.0,4,uncertainty,False,rbf,0.5160183066361556
46_WPBC,99,IForest,0.0,0,anomalous,True,rbf,0.5017162471395881
46_WPBC,99,IForest,0.0,1,anomalous,True,rbf,0.5277777777777778
46_WPBC,99,IForest,0.0,2,anomalous,True,rbf,0.5600686498855836
46_WPBC,99,IForest,0.0,3,anomalous,True,rbf,0.39359267734553777
46_WPBC,99,IForest,0.0,4,anomalous,True,rbf,0.4570938215102974
46_WPBC,99,IForest,0.0,0,anomalous,False,rbf,0.4954233409610984
46_WPBC,99,IForest,0.0,1,anomalous,False,rbf,0.5205555555555555
46_WPBC,99,IForest,0.0,2,anomalous,False,rbf,0.591533180778032
46_WPBC,99,IForest,0.0,3,anomalous,False,rbf,0.4239130434782608
46_WPBC,99,IForest,0.0,4,anomalous,False,rbf,0.43821510297482835
46_WPBC,99,IForest,0.0,0,clusters,True,rbf,0.4822654462242563
46_WPBC,99,IForest,0.0,1,clusters,True,rbf,0.5344444444444445
46_WPBC,99,IForest,0.0,2,clusters,True,rbf,0.5389016018306636
46_WPBC,99,IForest,0.0,3,clusters,True,rbf,0.4536613272311213
46_WPBC,99,IForest,0.0,4,clusters,True,rbf,0.4513729977116705
46_WPBC,99,IForest,0.0,0,clusters,False,rbf,0.5434782608695652
46_WPBC,99,IForest,0.0,1,clusters,False,rbf,0.5577777777777777
46_WPBC,99,IForest,0.0,2,clusters,False,rbf,0.5697940503432494
46_WPBC,99,IForest,0.0,3,clusters,False,rbf,0.44279176201373
46_WPBC,99,IForest,0.0,4,clusters,False,rbf,0.44279176201373
46_WPBC,99,IForest,0.004,0,random,True,rbf,0.4742562929061785
46_WPBC,99,IForest,0.004,1,random,True,rbf,0.5311111111111111
46_WPBC,99,IForest,0.004,2,random,True,rbf,0.5417620137299771
46_WPBC,99,IForest,0.004,3,random,True,rbf,0.4210526315789474
46_WPBC,99,IForest,0.004,4,random,True,rbf,0.44622425629290613
46_WPBC,99,IForest,0.004,0,random,False,rbf,0.488558352402746
46_WPBC,99,IForest,0.004,1,random,False,rbf,0.5577777777777777
46_WPBC,99,IForest,0.004,2,random,False,rbf,0.6207093821510297
46_WPBC,99,IForest,0.004,3,random,False,rbf,0.49885583524027466
46_WPBC,99,IForest,0.004,4,random,False,rbf,0.4530892448512586
46_WPBC,99,IForest,0.004,0,uncertainty,True,rbf,0.4445080091533181
46_WPBC,99,IForest,0.004,1,uncertainty,True,rbf,0.5133333333333334
46_WPBC,99,IForest,0.004,2,uncertainty,True,rbf,0.5663615560640732
46_WPBC,99,IForest,0.004,3,uncertainty,True,rbf,0.42162471395881007
46_WPBC,99,IForest,0.004,4,uncertainty,True,rbf,0.4679633867276888
46_WPBC,99,IForest,0.004,0,uncertainty,False,rbf,0.4754004576659039
46_WPBC,99,IForest,0.004,1,uncertainty,False,rbf,0.54
46_WPBC,99,IForest,0.004,2,uncertainty,False,rbf,0.597254004576659
46_WPBC,99,IForest,0.004,3,uncertainty,False,rbf,0.42105263157894735
46_WPBC,99,IForest,0.004,4,uncertainty,False,rbf,0.4336384439359267
46_WPBC,99,IForest,0.004,0,anomalous,True,rbf,0.4902745995423341
46_WPBC,99,IForest,0.004,1,anomalous,True,rbf,0.5322222222222222
46_WPBC,99,IForest,0.004,2,anomalous,True,rbf,0.5903890160183067
46_WPBC,99,IForest,0.004,3,anomalous,True,rbf,0.4302059496567506
46_WPBC,99,IForest,0.004,4,anomalous,True,rbf,0.4376430205949657
46_WPBC,99,IForest,0.004,0,anomalous,False,rbf,0.5154462242562929
46_WPBC,99,IForest,0.004,1,anomalous,False,rbf,0.5538888888888889
46_WPBC,99,IForest,0.004,2,anomalous,False,rbf,0.5743707093821511
46_WPBC,99,IForest,0.004,3,anomalous,False,rbf,0.4467963386727688
46_WPBC,99,IForest,0.004,4,anomalous,False,rbf,0.47254004576659037
46_WPBC,99,IForest,0.004,0,clusters,True,rbf,0.4971395881006866
46_WPBC,99,IForest,0.004,1,clusters,True,rbf,0.5566666666666666
46_WPBC,99,IForest,0.004,2,clusters,True,rbf,0.6127002288329519
46_WPBC,99,IForest,0.004,3,clusters,True,rbf,0.4679633867276888
