dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
47_yeast,500,IForest,0.0,0,random,True,rbf,0.4313087683748377
47_yeast,500,IForest,0.0,1,random,True,rbf,0.3866048098970831
47_yeast,500,IForest,0.0,2,random,True,rbf,0.35100161751897474
47_yeast,500,IForest,0.0,3,random,True,rbf,0.4005581329209549
47_yeast,500,IForest,0.0,4,random,True,rbf,0.4056595389182175
47_yeast,500,IForest,0.0,0,random,False,rbf,0.4465241116976839
47_yeast,500,IForest,0.0,1,random,False,rbf,0.3945146554329085
47_yeast,500,IForest,0.0,2,random,False,rbf,0.35740059368278854
47_yeast,500,IForest,0.0,3,random,False,rbf,0.39766081871345027
47_yeast,500,IForest,0.0,4,random,False,rbf,0.3971275706997992
47_yeast,500,IForest,0.0,0,uncertainty,True,rbf,0.4342949572512842
47_yeast,500,IForest,0.0,1,uncertainty,True,rbf,0.40549956451412217
47_yeast,500,IForest,0.0,2,uncertainty,True,rbf,0.35754279315309556
47_yeast,500,IForest,0.0,3,uncertainty,True,rbf,0.3854316642670506
47_yeast,500,IForest,0.0,4,uncertainty,True,rbf,0.4182975168417498
47_yeast,500,IForest,0.0,0,uncertainty,False,rbf,0.4285536536376402
47_yeast,500,IForest,0.0,1,uncertainty,False,rbf,0.39771414351481543
47_yeast,500,IForest,0.0,2,uncertainty,False,rbf,0.3594624860022396
47_yeast,500,IForest,0.0,3,uncertainty,False,rbf,0.38916440036260863
47_yeast,500,IForest,0.0,4,uncertainty,False,rbf,0.40830800405268486
47_yeast,500,IForest,0.0,0,anomalous,True,rbf,0.42322117350112864
47_yeast,500,IForest,0.0,1,anomalous,True,rbf,0.39446133063154337
47_yeast,500,IForest,0.0,2,anomalous,True,rbf,0.35524982669439553
47_yeast,500,IForest,0.0,3,anomalous,True,rbf,0.3806502070779787
47_yeast,500,IForest,0.0,4,anomalous,True,rbf,0.4217636289304822
47_yeast,500,IForest,0.0,0,anomalous,False,rbf,0.44618638795570487
47_yeast,500,IForest,0.0,1,anomalous,False,rbf,0.38838230327592027
47_yeast,500,IForest,0.0,2,anomalous,False,rbf,0.36829662809506036
47_yeast,500,IForest,0.0,3,anomalous,False,rbf,0.38975097317762486
47_yeast,500,IForest,0.0,4,anomalous,False,rbf,0.42283012495778455
47_yeast,500,IForest,0.0,0,clusters,True,rbf,0.4198261611475497
47_yeast,500,IForest,0.0,1,clusters,True,rbf,0.4011624806697595
47_yeast,500,IForest,0.0,2,clusters,True,rbf,0.37034074548072304
47_yeast,500,IForest,0.0,3,clusters,True,rbf,0.3943902308963899
47_yeast,500,IForest,0.0,4,clusters,True,rbf,0.39780301818375724
47_yeast,500,IForest,0.0,0,clusters,False,rbf,0.4200572352867985
47_yeast,500,IForest,0.0,1,clusters,False,rbf,0.39494125384382944
47_yeast,500,IForest,0.0,2,clusters,False,rbf,0.3630352476937023
47_yeast,500,IForest,0.0,3,clusters,False,rbf,0.3954922767912689
47_yeast,500,IForest,0.0,4,clusters,False,rbf,0.4105476457100197
47_yeast,171,IForest,0.004,0,random,True,rbf,0.44890595282532575
47_yeast,420,IForest,0.004,1,random,True,rbf,0.37608204909436715
47_yeast,500,IForest,0.004,2,random,True,rbf,0.35331235891146306
47_yeast,500,IForest,0.004,3,random,True,rbf,0.38068575694555534
47_yeast,500,IForest,0.004,4,random,True,rbf,0.41616452478714516
47_yeast,499,IForest,0.004,0,random,False,rbf,0.4344193817878028
47_yeast,499,IForest,0.004,1,random,False,rbf,0.3934126095380295
47_yeast,498,IForest,0.004,2,random,False,rbf,0.36475941627117436
47_yeast,500,IForest,0.004,3,random,False,rbf,0.3933770596704528
47_yeast,500,IForest,0.004,4,random,False,rbf,0.4051973906397198
47_yeast,500,IForest,0.004,0,uncertainty,True,rbf,0.46435237028742077
47_yeast,500,IForest,0.004,1,uncertainty,True,rbf,0.39321708526635735
47_yeast,315,IForest,0.004,2,uncertainty,True,rbf,0.35889368812101174
47_yeast,500,IForest,0.004,3,uncertainty,True,rbf,0.4070282088199221
47_yeast,36,IForest,0.004,4,uncertainty,True,rbf,0.40972999875575467
47_yeast,498,IForest,0.004,0,uncertainty,False,rbf,0.41500915409090094
47_yeast,500,IForest,0.004,1,uncertainty,False,rbf,0.3979807675216409
47_yeast,498,IForest,0.004,2,uncertainty,False,rbf,0.36383511971417903
47_yeast,500,IForest,0.004,3,uncertainty,False,rbf,0.40893012673527784
47_yeast,499,IForest,0.004,4,uncertainty,False,rbf,0.4116141417373221
47_yeast,500,IForest,0.004,0,anomalous,True,rbf,0.42604738797347974
47_yeast,500,IForest,0.004,1,anomalous,True,rbf,0.3903908707940063
47_yeast,13,IForest,0.004,2,anomalous,True,rbf,0.3955989263939992
47_yeast,500,IForest,0.004,3,anomalous,True,rbf,0.39693204642812696
47_yeast,12,IForest,0.004,4,anomalous,True,rbf,0.4146714303489219
47_yeast,500,IForest,0.004,0,anomalous,False,rbf,0.4416360049058817
47_yeast,498,IForest,0.004,1,anomalous,False,rbf,0.39561670132778753
47_yeast,499,IForest,0.004,2,anomalous,False,rbf,0.34694893261522597
47_yeast,500,IForest,0.004,3,anomalous,False,rbf,0.3864448354929878
47_yeast,499,IForest,0.004,4,anomalous,False,rbf,0.4131072361755452
47_yeast,9,IForest,0.004,0,clusters,True,rbf,0.39501235357898296
47_yeast,11,IForest,0.004,1,clusters,True,rbf,0.42956682486357733
47_yeast,13,IForest,0.004,2,clusters,True,rbf,0.3877957304609041
47_yeast,500,IForest,0.004,3,clusters,True,rbf,0.4078991805755523
47_yeast,500,IForest,0.004,4,clusters,True,rbf,0.42179917879805895
47_yeast,499,IForest,0.004,0,clusters,False,rbf,0.44026733500417703
47_yeast,499,IForest,0.004,1,clusters,False,rbf,0.4002915089141293
47_yeast,499,IForest,0.004,2,clusters,False,rbf,0.37185161485273466
47_yeast,498,IForest,0.004,3,clusters,False,rbf,0.3898753977141435
47_yeast,498,IForest,0.004,4,clusters,False,rbf,0.412858387102508
47_yeast,126,IForest,0.006,0,random,True,rbf,0.44584866421372576
47_yeast,464,IForest,0.006,1,random,True,rbf,0.39597220000355493
47_yeast,55,IForest,0.006,2,random,True,rbf,0.3628397234220302
47_yeast,500,IForest,0.006,3,random,True,rbf,0.3898220729127784
47_yeast,500,IForest,0.006,4,random,True,rbf,0.42252795108338215
47_yeast,498,IForest,0.006,0,random,False,rbf,0.42126593078440777
47_yeast,499,IForest,0.006,1,random,False,rbf,0.3880445795339412
47_yeast,498,IForest,0.006,2,random,False,rbf,0.3606356316322722
47_yeast,500,IForest,0.006,3,random,False,rbf,0.38649816029435285
47_yeast,500,IForest,0.006,4,random,False,rbf,0.397980767521641
47_yeast,500,IForest,0.006,0,uncertainty,True,rbf,0.4250875415489077
47_yeast,500,IForest,0.006,1,uncertainty,True,rbf,0.38811567926909474
47_yeast,420,IForest,0.006,2,uncertainty,True,rbf,0.34860200145754455
47_yeast,398,IForest,0.006,3,uncertainty,True,rbf,0.38710250804315754
47_yeast,500,IForest,0.006,4,uncertainty,True,rbf,0.4033310225919408
47_yeast,498,IForest,0.006,0,uncertainty,False,rbf,0.44320019907925845
47_yeast,500,IForest,0.006,1,uncertainty,False,rbf,0.39261273751755277
47_yeast,498,IForest,0.006,2,uncertainty,False,rbf,0.34826427771556545
47_yeast,500,IForest,0.006,3,uncertainty,False,rbf,0.3916173412254039
47_yeast,499,IForest,0.006,4,uncertainty,False,rbf,0.41790646829840555
47_yeast,9,IForest,0.006,0,anomalous,True,rbf,0.37974368545477166
47_yeast,500,IForest,0.006,1,anomalous,True,rbf,0.4016779537496223
47_yeast,13,IForest,0.006,2,anomalous,True,rbf,0.34849535185481434
47_yeast,500,IForest,0.006,3,anomalous,True,rbf,0.39835404113119677
47_yeast,15,IForest,0.006,4,anomalous,True,rbf,0.39110186814554115
47_yeast,499,IForest,0.006,0,anomalous,False,rbf,0.4443022449741375
47_yeast,498,IForest,0.006,1,anomalous,False,rbf,0.40240672603494554
47_yeast,498,IForest,0.006,2,anomalous,False,rbf,0.35455660427664903
47_yeast,499,IForest,0.006,3,anomalous,False,rbf,0.4014291046765851
47_yeast,499,IForest,0.006,4,anomalous,False,rbf,0.40251337563767575
47_yeast,9,IForest,0.006,0,clusters,True,rbf,0.3886044899482749
47_yeast,147,IForest,0.006,1,clusters,True,rbf,0.495600703887378
47_yeast,409,IForest,0.006,2,clusters,True,rbf,0.3694164489237277
47_yeast,202,IForest,0.006,3,clusters,True,rbf,0.46399687161165315
47_yeast,6,IForest,0.006,4,clusters,True,rbf,0.4571357471693418
47_yeast,499,IForest,0.006,0,clusters,False,rbf,0.43178869158712374
47_yeast,499,IForest,0.006,1,clusters,False,rbf,0.3948879290424644
47_yeast,499,IForest,0.006,2,clusters,False,rbf,0.35016619563092133
47_yeast,498,IForest,0.006,3,clusters,False,rbf,0.3765264224390764
47_yeast,498,IForest,0.006,4,clusters,False,rbf,0.3971275706997991
47_yeast,356,IForest,0.008,0,random,True,rbf,0.4816473808635063
47_yeast,469,IForest,0.008,1,random,True,rbf,0.4009314065305107
47_yeast,191,IForest,0.008,2,random,True,rbf,0.4059083879912547
47_yeast,246,IForest,0.008,3,random,True,rbf,0.441316056097691
47_yeast,433,IForest,0.008,4,random,True,rbf,0.4260118381059031
47_yeast,498,IForest,0.008,0,random,False,rbf,0.43733447092909583
47_yeast,499,IForest,0.008,1,random,False,rbf,0.3973586448390479
47_yeast,498,IForest,0.008,2,random,False,rbf,0.35276133596402354
47_yeast,499,IForest,0.008,3,random,False,rbf,0.3920083897687481
47_yeast,499,IForest,0.008,4,random,False,rbf,0.4216392043939636
47_yeast,189,IForest,0.008,0,uncertainty,True,rbf,0.45960646296592544
47_yeast,294,IForest,0.008,1,uncertainty,True,rbf,0.3935192591407597
47_yeast,315,IForest,0.008,2,uncertainty,True,rbf,0.3744823050534137
47_yeast,326,IForest,0.008,3,uncertainty,True,rbf,0.4010380561332409
47_yeast,409,IForest,0.008,4,uncertainty,True,rbf,0.40345544712845943
47_yeast,499,IForest,0.008,0,uncertainty,False,rbf,0.41961286194208924
47_yeast,499,IForest,0.008,1,uncertainty,False,rbf,0.3857516130752413
47_yeast,500,IForest,0.008,2,uncertainty,False,rbf,0.3537745071899607
47_yeast,498,IForest,0.008,3,uncertainty,False,rbf,0.3868003341687552
47_yeast,500,IForest,0.008,4,uncertainty,False,rbf,0.4151691284949963
47_yeast,9,IForest,0.008,0,anomalous,True,rbf,0.4186174656499404
47_yeast,11,IForest,0.008,1,anomalous,True,rbf,0.4080236051120709
47_yeast,13,IForest,0.008,2,anomalous,True,rbf,0.3365861462166053
47_yeast,500,IForest,0.008,3,anomalous,True,rbf,0.3965232229509945
47_yeast,12,IForest,0.008,4,anomalous,True,rbf,0.40957891181855344
47_yeast,499,IForest,0.008,0,anomalous,False,rbf,0.42284789989157295
47_yeast,496,IForest,0.008,1,anomalous,False,rbf,0.39694982136191537
47_yeast,498,IForest,0.008,2,anomalous,False,rbf,0.36337297143568137
47_yeast,500,IForest,0.008,3,anomalous,False,rbf,0.3977496933823921
47_yeast,497,IForest,0.008,4,anomalous,False,rbf,0.43107769423558895
47_yeast,500,IForest,0.008,0,clusters,True,rbf,0.4502746227270304
47_yeast,122,IForest,0.008,1,clusters,True,rbf,0.46328587426011836
47_yeast,409,IForest,0.008,2,clusters,True,rbf,0.3527968858316003
47_yeast,202,IForest,0.008,3,clusters,True,rbf,0.46175722995431845
47_yeast,6,IForest,0.008,4,clusters,True,rbf,0.39647878561652355
47_yeast,500,IForest,0.008,0,clusters,False,rbf,0.43175314171954704
47_yeast,498,IForest,0.008,1,clusters,False,rbf,0.3966298725537247
47_yeast,499,IForest,0.008,2,clusters,False,rbf,0.3600135089496792
47_yeast,498,IForest,0.008,3,clusters,False,rbf,0.3917950905632876
47_yeast,497,IForest,0.008,4,clusters,False,rbf,0.4138004585932916
47_yeast,360,IForest,0.01,0,random,True,rbf,0.4693826765495298
47_yeast,469,IForest,0.01,1,random,True,rbf,0.38811567926909474
47_yeast,212,IForest,0.01,2,random,True,rbf,0.3914573668213086
47_yeast,359,IForest,0.01,3,random,True,rbf,0.41746209495369624
47_yeast,433,IForest,0.01,4,random,True,rbf,0.4307577454273983
47_yeast,498,IForest,0.01,0,random,False,rbf,0.44664853623420253
47_yeast,499,IForest,0.01,1,random,False,rbf,0.3935903588759131
47_yeast,498,IForest,0.01,2,random,False,rbf,0.36934534918857426
47_yeast,499,IForest,0.01,3,random,False,rbf,0.37979701025613677
47_yeast,499,IForest,0.01,4,random,False,rbf,0.4017312785509874
47_yeast,402,IForest,0.01,0,uncertainty,True,rbf,0.4634280737304254
47_yeast,500,IForest,0.01,1,uncertainty,True,rbf,0.39280826178922484
47_yeast,223,IForest,0.01,2,uncertainty,True,rbf,0.37757514353259036
47_yeast,115,IForest,0.01,3,uncertainty,True,rbf,0.44080058301782826
47_yeast,500,IForest,0.01,4,uncertainty,True,rbf,0.4136404841891963
47_yeast,498,IForest,0.01,0,uncertainty,False,rbf,0.42752270747791465
47_yeast,499,IForest,0.01,1,uncertainty,False,rbf,0.37673972164453684
47_yeast,497,IForest,0.01,2,uncertainty,False,rbf,0.36758563074352546
47_yeast,499,IForest,0.01,3,uncertainty,False,rbf,0.3993316624895572
47_yeast,498,IForest,0.01,4,uncertainty,False,rbf,0.41220071455233825
47_yeast,9,IForest,0.01,0,anomalous,True,rbf,0.3872091576458878
47_yeast,16,IForest,0.01,1,anomalous,True,rbf,0.36614586110666736
47_yeast,13,IForest,0.01,2,anomalous,True,rbf,0.3712294921701417
47_yeast,496,IForest,0.01,3,anomalous,True,rbf,0.3872624824472529
47_yeast,396,IForest,0.01,4,anomalous,True,rbf,0.4316820419843936
47_yeast,499,IForest,0.01,0,anomalous,False,rbf,0.44371567215912117
47_yeast,496,IForest,0.01,1,anomalous,False,rbf,0.39335928473666437
47_yeast,498,IForest,0.01,2,anomalous,False,rbf,0.3585381894452443
47_yeast,499,IForest,0.01,3,anomalous,False,rbf,0.3834408716827529
47_yeast,498,IForest,0.01,4,anomalous,False,rbf,0.42064380810181484
47_yeast,435,IForest,0.01,0,clusters,True,rbf,0.44394674629837005
47_yeast,144,IForest,0.01,1,clusters,True,rbf,0.4385964912280701
47_yeast,424,IForest,0.01,2,clusters,True,rbf,0.35455660427664903
47_yeast,207,IForest,0.01,3,clusters,True,rbf,0.48347819904370853
47_yeast,74,IForest,0.01,4,clusters,True,rbf,0.4157912511775893
47_yeast,499,IForest,0.01,0,clusters,False,rbf,0.42730940827245417
47_yeast,498,IForest,0.01,1,clusters,False,rbf,0.3912618425496365
47_yeast,499,IForest,0.01,2,clusters,False,rbf,0.36683908352441386
