dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
4_breastw,341,IForest,0.0,0,random,True,rbf,0.9887762762762762
4_breastw,341,IForest,0.0,1,random,True,rbf,0.9892642642642643
4_breastw,341,IForest,0.0,2,random,True,rbf,0.9897897897897898
4_breastw,341,IForest,0.0,3,random,True,rbf,0.9872372372372373
4_breastw,341,IForest,0.0,4,random,True,rbf,0.9811186186186186
4_breastw,341,IForest,0.0,0,random,False,rbf,0.9877252252252252
4_breastw,341,IForest,0.0,1,random,False,rbf,0.9880255255255255
4_breastw,341,IForest,0.0,2,random,False,rbf,0.9928678678678678
4_breastw,341,IForest,0.0,3,random,False,rbf,0.9880255255255255
4_breastw,341,IForest,0.0,4,random,False,rbf,0.9786786786786786
4_breastw,341,IForest,0.0,0,uncertainty,True,rbf,0.9877252252252252
4_breastw,341,IForest,0.0,1,uncertainty,True,rbf,0.988963963963964
4_breastw,341,IForest,0.0,2,uncertainty,True,rbf,0.9903528528528528
4_breastw,341,IForest,0.0,3,uncertainty,True,rbf,0.9882507507507508
4_breastw,341,IForest,0.0,4,uncertainty,True,rbf,0.9822072072072072
4_breastw,341,IForest,0.0,0,uncertainty,False,rbf,0.9853228228228228
4_breastw,341,IForest,0.0,1,uncertainty,False,rbf,0.9914414414414414
4_breastw,341,IForest,0.0,2,uncertainty,False,rbf,0.9908783783783783
4_breastw,341,IForest,0.0,3,uncertainty,False,rbf,0.9868243243243243
4_breastw,341,IForest,0.0,4,uncertainty,False,rbf,0.9792042042042042
4_breastw,341,IForest,0.0,0,anomalous,True,rbf,0.9890765765765767
4_breastw,341,IForest,0.0,1,anomalous,True,rbf,0.9868993993993994
4_breastw,341,IForest,0.0,2,anomalous,True,rbf,0.9911411411411413
4_breastw,341,IForest,0.0,3,anomalous,True,rbf,0.9868243243243243
4_breastw,341,IForest,0.0,4,anomalous,True,rbf,0.9805930930930931
4_breastw,341,IForest,0.0,0,anomalous,False,rbf,0.9856606606606606
4_breastw,341,IForest,0.0,1,anomalous,False,rbf,0.989039039039039
4_breastw,341,IForest,0.0,2,anomalous,False,rbf,0.9905780780780781
4_breastw,341,IForest,0.0,3,anomalous,False,rbf,0.9889264264264264
4_breastw,341,IForest,0.0,4,anomalous,False,rbf,0.9826576576576577
4_breastw,341,IForest,0.0,0,clusters,True,rbf,0.9826201201201201
4_breastw,341,IForest,0.0,1,clusters,True,rbf,0.9859609609609609
4_breastw,341,IForest,0.0,2,clusters,True,rbf,0.9908033033033034
4_breastw,341,IForest,0.0,3,clusters,True,rbf,0.98246996996997
4_breastw,341,IForest,0.0,4,clusters,True,rbf,0.9777777777777777
4_breastw,341,IForest,0.0,0,clusters,False,rbf,0.9889264264264264
4_breastw,341,IForest,0.0,1,clusters,False,rbf,0.9898273273273273
4_breastw,341,IForest,0.0,2,clusters,False,rbf,0.9907282282282283
4_breastw,341,IForest,0.0,3,clusters,False,rbf,0.9840090090090089
4_breastw,341,IForest,0.0,4,clusters,False,rbf,0.9824699699699699
4_breastw,341,IForest,0.004,0,random,True,rbf,0.983521021021021
4_breastw,341,IForest,0.004,1,random,True,rbf,0.9871621621621622
4_breastw,341,IForest,0.004,2,random,True,rbf,0.9887387387387387
4_breastw,341,IForest,0.004,3,random,True,rbf,0.9877252252252252
