dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
5_campaign,500,IForest,0.0,0,random,True,rbf,0.6871782496782497
5_campaign,500,IForest,0.0,1,random,True,rbf,0.6673795097223872
5_campaign,500,IForest,0.0,2,random,True,rbf,0.7697474259974261
5_campaign,500,IForest,0.0,3,random,True,rbf,0.6248793436293436
5_campaign,500,IForest,0.0,4,random,True,rbf,0.686735842985843
5_campaign,500,IForest,0.0,0,random,False,rbf,0.7109475546975547
5_campaign,500,IForest,0.0,1,random,False,rbf,0.6817155756207675
5_campaign,500,IForest,0.0,2,random,False,rbf,0.7797216859716859
5_campaign,500,IForest,0.0,3,random,False,rbf,0.5974903474903475
5_campaign,500,IForest,0.0,4,random,False,rbf,0.7153716216216217
5_campaign,500,IForest,0.0,0,uncertainty,True,rbf,0.6560489060489061
5_campaign,500,IForest,0.0,1,uncertainty,True,rbf,0.683260068908162
5_campaign,500,IForest,0.0,2,uncertainty,True,rbf,0.7588079150579151
5_campaign,500,IForest,0.0,3,uncertainty,True,rbf,0.6182834620334621
5_campaign,500,IForest,0.0,4,uncertainty,True,rbf,0.7181064993564993
5_campaign,500,IForest,0.0,0,uncertainty,False,rbf,0.7073680823680824
5_campaign,500,IForest,0.0,1,uncertainty,False,rbf,0.6653201853391945
5_campaign,500,IForest,0.0,2,uncertainty,False,rbf,0.7842664092664091
5_campaign,500,IForest,0.0,3,uncertainty,False,rbf,0.6476833976833977
5_campaign,500,IForest,0.0,4,uncertainty,False,rbf,0.6874597812097811
5_campaign,500,IForest,0.0,0,anomalous,True,rbf,0.6784105534105533
5_campaign,500,IForest,0.0,1,anomalous,True,rbf,0.6823096115005345
5_campaign,500,IForest,0.0,2,anomalous,True,rbf,0.7150096525096525
5_campaign,500,IForest,0.0,3,anomalous,True,rbf,0.5946750321750323
5_campaign,500,IForest,0.0,4,anomalous,True,rbf,0.6647361647361647
5_campaign,500,IForest,0.0,0,anomalous,False,rbf,0.6902348777348777
5_campaign,500,IForest,0.0,1,anomalous,False,rbf,0.6631816561720326
5_campaign,500,IForest,0.0,2,anomalous,False,rbf,0.7437660875160875
5_campaign,500,IForest,0.0,3,anomalous,False,rbf,0.6251206563706564
5_campaign,500,IForest,0.0,4,anomalous,False,rbf,0.6851270913770915
