dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
6_cardio,500,IForest,0.0,0,random,True,0.9390210176991151
6_cardio,500,IForest,0.0,1,random,True,0.9071257374631269
6_cardio,500,IForest,0.0,2,random,True,0.9422935103244837
6_cardio,500,IForest,0.0,3,random,True,0.9232577433628318
6_cardio,500,IForest,0.0,4,random,True,0.931554203539823
6_cardio,500,IForest,0.0,0,random,False,0.8974465339233039
6_cardio,500,IForest,0.0,1,random,False,0.8942201327433629
6_cardio,500,IForest,0.0,2,random,False,0.9514657079646018
6_cardio,500,IForest,0.0,3,random,False,0.9348266961651918
6_cardio,500,IForest,0.0,4,random,False,0.907632743362832
6_cardio,500,IForest,0.0,0,uncertainty,True,0.9280512536873157
6_cardio,500,IForest,0.0,1,uncertainty,True,0.9150995575221239
6_cardio,500,IForest,0.0,2,uncertainty,True,0.9574115044247787
6_cardio,500,IForest,0.0,3,uncertainty,True,0.9446902654867256
6_cardio,500,IForest,0.0,4,uncertainty,True,0.9206305309734514
6_cardio,500,IForest,0.0,0,uncertainty,False,0.9012260324483776
6_cardio,500,IForest,0.0,1,uncertainty,False,0.8910398230088495
6_cardio,500,IForest,0.0,2,uncertainty,False,0.9428005162241887
6_cardio,500,IForest,0.0,3,uncertainty,False,0.9324760324483775
6_cardio,500,IForest,0.0,4,uncertainty,False,0.9239491150442478
6_cardio,500,IForest,0.0,0,anomalous,True,0.9181876843657817
6_cardio,500,IForest,0.0,1,anomalous,True,0.9126106194690266
6_cardio,500,IForest,0.0,2,anomalous,True,0.9516500737463127
6_cardio,500,IForest,0.0,3,anomalous,True,0.9294800884955753
6_cardio,500,IForest,0.0,4,anomalous,True,0.9202617994100295
6_cardio,500,IForest,0.0,0,anomalous,False,0.9134863569321534
6_cardio,500,IForest,0.0,1,anomalous,False,0.8929756637168141
6_cardio,500,IForest,0.0,2,anomalous,False,0.9488384955752213
6_cardio,500,IForest,0.0,3,anomalous,False,0.9425700589970503
6_cardio,500,IForest,0.0,4,anomalous,False,0.9198930678466076
6_cardio,500,IForest,0.0,0,clusters,True,0.9262075958702065
6_cardio,500,IForest,0.0,1,clusters,True,0.9216906342182891
6_cardio,500,IForest,0.0,2,clusters,True,0.9561670353982301
6_cardio,500,IForest,0.0,3,clusters,True,0.9161596607669616
6_cardio,500,IForest,0.0,4,clusters,True,0.9217367256637168
6_cardio,500,IForest,0.0,0,clusters,False,0.9205844395280236
6_cardio,500,IForest,0.0,1,clusters,False,0.9161596607669616
6_cardio,500,IForest,0.0,2,clusters,False,0.9338126843657817
6_cardio,500,IForest,0.0,3,clusters,False,0.9368547197640118
6_cardio,500,IForest,0.0,4,clusters,False,0.9173580383480826
6_cardio,500,IForest,0.004,0,random,True,0.9040837020648967
6_cardio,461,IForest,0.004,1,random,True,0.9156987463126843
6_cardio,414,IForest,0.004,2,random,True,0.9377304572271387
6_cardio,500,IForest,0.004,3,random,True,0.93445796460177
6_cardio,500,IForest,0.004,4,random,True,0.9251935840707963
6_cardio,500,IForest,0.004,0,random,False,0.9245483038348083
6_cardio,499,IForest,0.004,1,random,False,0.9263919616519175
6_cardio,499,IForest,0.004,2,random,False,0.9233499262536874
6_cardio,500,IForest,0.004,3,random,False,0.9158370206489675
6_cardio,500,IForest,0.004,4,random,False,0.90422197640118
6_cardio,170,IForest,0.004,0,uncertainty,True,0.7876567109144543
6_cardio,500,IForest,0.004,1,uncertainty,True,0.9178189528023599
6_cardio,299,IForest,0.004,2,uncertainty,True,0.9608683628318584
6_cardio,500,IForest,0.004,3,uncertainty,True,0.9316463864306785
6_cardio,500,IForest,0.004,4,uncertainty,True,0.9319690265486726
6_cardio,499,IForest,0.004,0,uncertainty,False,0.9321994837758112
6_cardio,498,IForest,0.004,1,uncertainty,False,0.9076788348082595
6_cardio,500,IForest,0.004,2,uncertainty,False,0.9276364306784661
6_cardio,499,IForest,0.004,3,uncertainty,False,0.925101401179941
6_cardio,499,IForest,0.004,4,uncertainty,False,0.9199391592920354
6_cardio,500,IForest,0.004,0,anomalous,True,0.928834808259587
6_cardio,500,IForest,0.004,1,anomalous,True,0.9117348820058997
6_cardio,500,IForest,0.004,2,anomalous,True,0.9319690265486725
6_cardio,500,IForest,0.004,3,anomalous,True,0.932568215339233
6_cardio,500,IForest,0.004,4,anomalous,True,0.9112739675516224
6_cardio,498,IForest,0.004,0,anomalous,False,0.9234882005899705
6_cardio,498,IForest,0.004,1,anomalous,False,0.9160213864306783
6_cardio,498,IForest,0.004,2,anomalous,False,0.9532632743362832
6_cardio,498,IForest,0.004,3,anomalous,False,0.9329369469026548
6_cardio,498,IForest,0.004,4,anomalous,False,0.9160674778761062
6_cardio,500,IForest,0.004,0,clusters,True,0.9173580383480826
6_cardio,500,IForest,0.004,1,clusters,True,0.915606563421829
6_cardio,500,IForest,0.004,2,clusters,True,0.9505438790560472
6_cardio,500,IForest,0.004,3,clusters,True,0.9435379793510326
6_cardio,500,IForest,0.004,4,clusters,True,0.9407724926253687
6_cardio,500,IForest,0.004,0,clusters,False,0.914730825958702
6_cardio,500,IForest,0.004,1,clusters,False,0.9151917404129793
