dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
7_Cardiotocography,500,IForest,0.0,0,random,True,0.7572960372960373
7_Cardiotocography,500,IForest,0.0,1,random,True,0.702121212121212
7_Cardiotocography,500,IForest,0.0,2,random,True,0.7601748251748252
7_Cardiotocography,500,IForest,0.0,3,random,True,0.6899883449883449
7_Cardiotocography,500,IForest,0.0,4,random,True,0.6982517482517484
7_Cardiotocography,500,IForest,0.0,0,random,False,0.7339627039627039
7_Cardiotocography,500,IForest,0.0,1,random,False,0.7227972027972027
7_Cardiotocography,500,IForest,0.0,2,random,False,0.7628321678321679
7_Cardiotocography,500,IForest,0.0,3,random,False,0.6659790209790211
7_Cardiotocography,500,IForest,0.0,4,random,False,0.6394172494172494
7_Cardiotocography,500,IForest,0.0,0,uncertainty,True,0.7073193473193473
7_Cardiotocography,500,IForest,0.0,1,uncertainty,True,0.7100699300699301
7_Cardiotocography,500,IForest,0.0,2,uncertainty,True,0.7716433566433566
7_Cardiotocography,500,IForest,0.0,3,uncertainty,True,0.6835314685314686
7_Cardiotocography,500,IForest,0.0,4,uncertainty,True,0.6668997668997669
7_Cardiotocography,500,IForest,0.0,0,uncertainty,False,0.7189277389277389
7_Cardiotocography,500,IForest,0.0,1,uncertainty,False,0.6685081585081585
7_Cardiotocography,500,IForest,0.0,2,uncertainty,False,0.7837645687645688
7_Cardiotocography,500,IForest,0.0,3,uncertainty,False,0.6846969696969698
7_Cardiotocography,500,IForest,0.0,4,uncertainty,False,0.6685547785547785
7_Cardiotocography,500,IForest,0.0,0,anomalous,True,0.7086713286713286
7_Cardiotocography,500,IForest,0.0,1,anomalous,True,0.7393706293706294
7_Cardiotocography,500,IForest,0.0,2,anomalous,True,0.7087062937062937
7_Cardiotocography,500,IForest,0.0,3,anomalous,True,0.7126223776223777
7_Cardiotocography,500,IForest,0.0,4,anomalous,True,0.7208158508158509
7_Cardiotocography,500,IForest,0.0,0,anomalous,False,0.7172027972027972
7_Cardiotocography,500,IForest,0.0,1,anomalous,False,0.6733799533799534
7_Cardiotocography,500,IForest,0.0,2,anomalous,False,0.7526689976689978
7_Cardiotocography,500,IForest,0.0,3,anomalous,False,0.7125990675990677
7_Cardiotocography,500,IForest,0.0,4,anomalous,False,0.6803962703962704
7_Cardiotocography,500,IForest,0.0,0,clusters,True,0.7613519813519815
7_Cardiotocography,500,IForest,0.0,1,clusters,True,0.685920745920746
7_Cardiotocography,500,IForest,0.0,2,clusters,True,0.7383566433566433
7_Cardiotocography,500,IForest,0.0,3,clusters,True,0.6936713286713287
7_Cardiotocography,500,IForest,0.0,4,clusters,True,0.6761072261072261
7_Cardiotocography,500,IForest,0.0,0,clusters,False,0.6860606060606061
7_Cardiotocography,500,IForest,0.0,1,clusters,False,0.7285547785547786
7_Cardiotocography,500,IForest,0.0,2,clusters,False,0.7236247086247085
7_Cardiotocography,500,IForest,0.0,3,clusters,False,0.7338578088578089
7_Cardiotocography,500,IForest,0.0,4,clusters,False,0.695034965034965
7_Cardiotocography,500,IForest,0.004,0,random,True,0.7192540792540792
7_Cardiotocography,500,IForest,0.004,1,random,True,0.6807226107226108
7_Cardiotocography,500,IForest,0.004,2,random,True,0.7428088578088577
7_Cardiotocography,500,IForest,0.004,3,random,True,0.7284265734265734
7_Cardiotocography,500,IForest,0.004,4,random,True,0.6745920745920746
7_Cardiotocography,500,IForest,0.004,0,random,False,0.6978088578088577
7_Cardiotocography,500,IForest,0.004,1,random,False,0.6500932400932401
7_Cardiotocography,500,IForest,0.004,2,random,False,0.7587529137529138
7_Cardiotocography,500,IForest,0.004,3,random,False,0.6972144522144523
7_Cardiotocography,500,IForest,0.004,4,random,False,0.7092773892773893
7_Cardiotocography,365,IForest,0.004,0,uncertainty,True,0.707086247086247
7_Cardiotocography,500,IForest,0.004,1,uncertainty,True,0.7456410256410257
7_Cardiotocography,500,IForest,0.004,2,uncertainty,True,0.7469580419580419
7_Cardiotocography,364,IForest,0.004,3,uncertainty,True,0.7822027972027972
7_Cardiotocography,500,IForest,0.004,4,uncertainty,True,0.6574358974358975
7_Cardiotocography,500,IForest,0.004,0,uncertainty,False,0.7304428904428905
7_Cardiotocography,500,IForest,0.004,1,uncertainty,False,0.6798601398601399
7_Cardiotocography,500,IForest,0.004,2,uncertainty,False,0.7344871794871795
7_Cardiotocography,499,IForest,0.004,3,uncertainty,False,0.6882634032634033
7_Cardiotocography,500,IForest,0.004,4,uncertainty,False,0.6755944055944056
7_Cardiotocography,500,IForest,0.004,0,anomalous,True,0.6766666666666666
7_Cardiotocography,500,IForest,0.004,1,anomalous,True,0.7022843822843823
7_Cardiotocography,500,IForest,0.004,2,anomalous,True,0.7920163170163171
7_Cardiotocography,500,IForest,0.004,3,anomalous,True,0.7008275058275057
7_Cardiotocography,499,IForest,0.004,4,anomalous,True,0.7278554778554778
7_Cardiotocography,498,IForest,0.004,0,anomalous,False,0.7686247086247087
7_Cardiotocography,498,IForest,0.004,1,anomalous,False,0.7085547785547786
7_Cardiotocography,498,IForest,0.004,2,anomalous,False,0.7775407925407924
7_Cardiotocography,498,IForest,0.004,3,anomalous,False,0.6946037296037296
7_Cardiotocography,498,IForest,0.004,4,anomalous,False,0.6985780885780886
7_Cardiotocography,500,IForest,0.004,0,clusters,True,0.6813053613053612
7_Cardiotocography,500,IForest,0.004,1,clusters,True,0.7362237762237762
7_Cardiotocography,500,IForest,0.004,2,clusters,True,0.7431118881118881
7_Cardiotocography,500,IForest,0.004,3,clusters,True,0.7278205128205127
7_Cardiotocography,500,IForest,0.004,4,clusters,True,0.6978321678321678
7_Cardiotocography,500,IForest,0.004,0,clusters,False,0.6581118881118881
7_Cardiotocography,500,IForest,0.004,1,clusters,False,0.7292307692307691
7_Cardiotocography,500,IForest,0.004,2,clusters,False,0.7383566433566434
7_Cardiotocography,500,IForest,0.004,3,clusters,False,0.7552564102564102
7_Cardiotocography,500,IForest,0.004,4,clusters,False,0.6918414918414919
7_Cardiotocography,405,IForest,0.006,0,random,True,0.7924009324009325
7_Cardiotocography,500,IForest,0.006,1,random,True,0.674055944055944
7_Cardiotocography,500,IForest,0.006,2,random,True,0.7408741258741258
7_Cardiotocography,500,IForest,0.006,3,random,True,0.6411771561771561
7_Cardiotocography,444,IForest,0.006,4,random,True,0.7368298368298368
7_Cardiotocography,499,IForest,0.006,0,random,False,0.7135664335664336
7_Cardiotocography,500,IForest,0.006,1,random,False,0.6934498834498835
7_Cardiotocography,500,IForest,0.006,2,random,False,0.7407109557109557
7_Cardiotocography,500,IForest,0.006,3,random,False,0.6871911421911423
7_Cardiotocography,499,IForest,0.006,4,random,False,0.6718881118881118
7_Cardiotocography,500,IForest,0.006,0,uncertainty,True,0.7141025641025641
7_Cardiotocography,500,IForest,0.006,1,uncertainty,True,0.7112121212121213
7_Cardiotocography,192,IForest,0.006,2,uncertainty,True,0.8771212121212122
7_Cardiotocography,321,IForest,0.006,3,uncertainty,True,0.6103846153846154
7_Cardiotocography,357,IForest,0.006,4,uncertainty,True,0.7846386946386946
7_Cardiotocography,498,IForest,0.006,0,uncertainty,False,0.7529836829836829
