dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
8_celeba,500,IForest,0.0,0,random,True,0.7367540435025097
8_celeba,500,IForest,0.0,1,random,True,0.8761851645287227
8_celeba,500,IForest,0.0,2,random,True,0.8562929912623164
8_celeba,500,IForest,0.0,3,random,True,0.49432980107826735
8_celeba,500,IForest,0.0,4,random,True,0.7653839003532256
8_celeba,500,IForest,0.0,0,random,False,0.7785833798103737
8_celeba,500,IForest,0.0,1,random,False,0.9009109499907046
8_celeba,500,IForest,0.0,2,random,False,0.862613868748838
8_celeba,500,IForest,0.0,3,random,False,0.49804796430563303
8_celeba,500,IForest,0.0,4,random,False,0.7888083286856293
8_celeba,500,IForest,0.0,0,uncertainty,True,0.7352667782115635
8_celeba,500,IForest,0.0,1,uncertainty,True,0.8618702361033649
8_celeba,500,IForest,0.0,2,uncertainty,True,0.8687488380739914
8_celeba,500,IForest,0.0,3,uncertainty,True,0.5132924335378324
8_celeba,500,IForest,0.0,4,uncertainty,True,0.7534857780256554
8_celeba,500,IForest,0.0,0,uncertainty,False,0.7328499721137758
8_celeba,500,IForest,0.0,1,uncertainty,False,0.9012827663134412
8_celeba,500,IForest,0.0,2,uncertainty,False,0.8432794199665365
8_celeba,500,IForest,0.0,3,uncertainty,False,0.48020078081427775
8_celeba,500,IForest,0.0,4,uncertainty,False,0.7772820226807956
8_celeba,500,IForest,0.0,0,anomalous,True,0.7549730433166016
8_celeba,500,IForest,0.0,1,anomalous,True,0.9042572968953337
8_celeba,500,IForest,0.0,2,anomalous,True,0.8667038482989403
8_celeba,500,IForest,0.0,3,anomalous,True,0.5426659230340212
8_celeba,500,IForest,0.0,4,anomalous,True,0.7854619817810004
8_celeba,500,IForest,0.0,0,anomalous,False,0.7196504926566276
8_celeba,500,IForest,0.0,1,anomalous,False,0.8854805725971371
8_celeba,500,IForest,0.0,2,anomalous,False,0.879531511433352
8_celeba,500,IForest,0.0,3,anomalous,False,0.49358616843279424
8_celeba,500,IForest,0.0,4,anomalous,False,0.7726343186465885
8_celeba,500,IForest,0.0,0,clusters,True,0.7337795129206172
8_celeba,500,IForest,0.0,1,clusters,True,0.911693623350065
8_celeba,500,IForest,0.0,2,clusters,True,0.8728388176240938
8_celeba,500,IForest,0.0,3,clusters,True,0.5192414947016174
8_celeba,500,IForest,0.0,4,clusters,True,0.763710726900911
8_celeba,500,IForest,0.0,0,clusters,False,0.7477226250232386
8_celeba,500,IForest,0.0,1,clusters,False,0.8903141847927125
8_celeba,500,IForest,0.0,2,clusters,False,0.8538761851645287
8_celeba,500,IForest,0.0,3,clusters,False,0.4759248931028072
8_celeba,500,IForest,0.0,4,clusters,False,0.7901096858152072
8_celeba,500,IForest,0.004,0,random,True,0.6932515337423313
8_celeba,500,IForest,0.004,1,random,True,0.8891987358245026
8_celeba,500,IForest,0.004,2,random,True,0.825246328313813
8_celeba,500,IForest,0.004,3,random,True,0.5121769845696226
8_celeba,500,IForest,0.004,4,random,True,0.7614798289644915
8_celeba,500,IForest,0.004,0,random,False,0.7713329615170107
8_celeba,500,IForest,0.004,1,random,False,0.9159695110615356
8_celeba,500,IForest,0.004,2,random,False,0.8685629299126232
8_celeba,500,IForest,0.004,3,random,False,0.5138501580219371
8_celeba,500,IForest,0.004,4,random,False,0.7603643799962819
8_celeba,500,IForest,0.004,0,uncertainty,True,0.7142591559769474
8_celeba,500,IForest,0.004,1,uncertainty,True,0.8960773377951291
8_celeba,500,IForest,0.004,2,uncertainty,True,0.8709797360104108
8_celeba,500,IForest,0.004,3,uncertainty,True,0.5065997397285741
8_celeba,500,IForest,0.004,4,uncertainty,True,0.7763524818739542
8_celeba,500,IForest,0.004,0,uncertainty,False,0.6588585238891987
8_celeba,500,IForest,0.004,1,uncertainty,False,0.8661461238148356
8_celeba,500,IForest,0.004,2,uncertainty,False,0.8752556237218814
8_celeba,499,IForest,0.004,3,uncertainty,False,0.549730433166016
8_celeba,500,IForest,0.004,4,uncertainty,False,0.7650120840304889
8_celeba,500,IForest,0.004,0,anomalous,True,0.7588771147053357
8_celeba,499,IForest,0.004,1,anomalous,True,0.9066741029931215
8_celeba,499,IForest,0.004,2,anomalous,True,0.8520171035508458
8_celeba,499,IForest,0.004,3,anomalous,True,0.49934932143521105
8_celeba,500,IForest,0.004,4,anomalous,True,0.76055028815765
