dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
9_census,500,IForest,0.0,0,random,True,0.5770685741797923
9_census,500,IForest,0.0,1,random,True,0.5923378499209023
9_census,500,IForest,0.0,2,random,True,0.657541784166724
9_census,500,IForest,0.0,3,random,True,0.6530022697572048
9_census,500,IForest,0.0,4,random,True,0.5842905289222092
9_census,500,IForest,0.0,0,random,False,0.6195749363780176
9_census,500,IForest,0.0,1,random,False,0.6022422449962171
9_census,500,IForest,0.0,2,random,False,0.6407593369557741
9_census,500,IForest,0.0,3,random,False,0.6078822477474379
9_census,500,IForest,0.0,4,random,False,0.6360134809821858
9_census,500,IForest,0.0,0,uncertainty,True,0.5729417428984112
9_census,500,IForest,0.0,1,uncertainty,True,0.649356902125318
9_census,500,IForest,0.0,2,uncertainty,True,0.6510764151592269
9_census,500,IForest,0.0,3,uncertainty,True,0.6107710296444048
9_census,500,IForest,0.0,4,uncertainty,True,0.620812985762432
9_census,500,IForest,0.0,0,uncertainty,False,0.6264529885136529
9_census,500,IForest,0.0,1,uncertainty,False,0.5907558979297064
9_census,500,IForest,0.0,2,uncertainty,False,0.6808583809065273
9_census,500,IForest,0.0,3,uncertainty,False,0.5974963890226287
9_census,500,IForest,0.0,4,uncertainty,False,0.6470183643992021
9_census,500,IForest,0.0,0,anomalous,True,0.6047183437650457
9_census,500,IForest,0.0,1,anomalous,True,0.6138661531054406
9_census,500,IForest,0.0,2,anomalous,True,0.6730861819932595
9_census,500,IForest,0.0,3,anomalous,True,0.6015544397826535
9_census,500,IForest,0.0,4,anomalous,True,0.627415915812642
9_census,500,IForest,0.0,0,anomalous,False,0.6185432285576725
9_census,500,IForest,0.0,1,anomalous,False,0.596946144851778
9_census,500,IForest,0.0,2,anomalous,False,0.7247403535318798
9_census,500,IForest,0.0,3,anomalous,False,0.6395900680927161
9_census,500,IForest,0.0,4,anomalous,False,0.5858037003920489
9_census,500,IForest,0.0,0,clusters,True,0.5787880872137011
9_census,500,IForest,0.0,1,clusters,True,0.5714285714285714
9_census,500,IForest,0.0,2,clusters,True,0.672604718343765
9_census,500,IForest,0.0,3,clusters,True,0.6504573904670198
9_census,500,IForest,0.0,4,clusters,True,0.5881422381181649
9_census,500,IForest,0.0,0,clusters,False,0.6062315152348855
9_census,500,IForest,0.0,1,clusters,False,0.6110461517298301
9_census,500,IForest,0.0,2,clusters,False,0.6690969117545911
9_census,500,IForest,0.0,3,clusters,False,0.6000412683128138
9_census,500,IForest,0.0,4,clusters,False,0.6360822615035422
9_census,500,IForest,0.004,0,random,True,0.6047871242864021
9_census,500,IForest,0.004,1,random,True,0.6494256826466744
9_census,500,IForest,0.004,2,random,True,0.679207648393975
9_census,500,IForest,0.004,3,random,True,0.6014168787399409
9_census,500,IForest,0.004,4,random,True,0.5793383313845518
9_census,500,IForest,0.004,0,random,False,0.5299539170506913
9_census,500,IForest,0.004,1,random,False,0.6531398307999174
9_census,500,IForest,0.004,2,random,False,0.6437856798954537
9_census,500,IForest,0.004,3,random,False,0.6218446935827774
9_census,500,IForest,0.004,4,random,False,0.6082949308755761
9_census,500,IForest,0.004,0,uncertainty,True,0.6072632230552307
9_census,500,IForest,0.004,1,uncertainty,True,0.6383520187083018
9_census,500,IForest,0.004,2,uncertainty,True,0.6466056812710641
9_census,500,IForest,0.004,3,uncertainty,True,0.6131783478918771
9_census,500,IForest,0.004,4,uncertainty,True,0.6380081161015201
9_census,500,IForest,0.004,0,uncertainty,False,0.5849095536144164
9_census,500,IForest,0.004,1,uncertainty,False,0.5808515028543917
9_census,500,IForest,0.004,2,uncertainty,False,0.7422106059563931
9_census,500,IForest,0.004,3,uncertainty,False,0.5822271132815187
9_census,500,IForest,0.004,4,uncertainty,False,0.6190246922071668
9_census,500,IForest,0.004,0,anomalous,True,0.5935758993053167
9_census,499,IForest,0.004,1,anomalous,True,0.6226700598390535
9_census,500,IForest,0.004,2,anomalous,True,0.6906252149391292
9_census,500,IForest,0.004,3,anomalous,True,0.5853910172639109
9_census,499,IForest,0.004,4,anomalous,True,0.6437168993740973
9_census,500,IForest,0.004,0,anomalous,False,0.6642822752596464
9_census,500,IForest,0.004,1,anomalous,False,0.5930944356558223
9_census,500,IForest,0.004,2,anomalous,False,0.6598803218928398
9_census,500,IForest,0.004,3,anomalous,False,0.635050553683197
9_census,499,IForest,0.004,4,anomalous,False,0.6296856730174014
9_census,500,IForest,0.004,0,clusters,True,0.6162046908315566
9_census,500,IForest,0.004,1,clusters,True,0.5906183368869936
9_census,500,IForest,0.004,2,clusters,True,0.6818213082055162
9_census,500,IForest,0.004,3,clusters,True,0.598528096842974
9_census,499,IForest,0.004,4,clusters,True,0.5624871036522456
9_census,500,IForest,0.004,0,clusters,False,0.5784441846069194
9_census,500,IForest,0.004,1,clusters,False,0.6410344590411995
9_census,500,IForest,0.004,2,clusters,False,0.7291423068986863
9_census,500,IForest,0.004,3,clusters,False,0.6666208129857624
9_census,499,IForest,0.004,4,clusters,False,0.6470183643992022
9_census,500,IForest,0.006,0,random,True,0.5831900405805076
9_census,500,IForest,0.006,1,random,True,0.6179929843868216
9_census,500,IForest,0.006,2,random,True,0.6831969186326432
9_census,500,IForest,0.006,3,random,True,0.657335442602655
9_census,499,IForest,0.006,4,random,True,0.5518949033633676
9_census,500,IForest,0.006,0,random,False,0.5652383245064997
9_census,500,IForest,0.006,1,random,False,0.5831900405805076
9_census,500,IForest,0.006,2,random,False,0.700735951578513
9_census,500,IForest,0.006,3,random,False,0.6345690900337025
9_census,499,IForest,0.006,4,random,False,0.6309925029231721
9_census,500,IForest,0.006,0,uncertainty,True,0.617098837609189
9_census,500,IForest,0.006,1,uncertainty,True,0.5891739459385102
9_census,500,IForest,0.006,2,uncertainty,True,0.7188252286952336
