dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
16_http,500,IForest,0.0,0,random,True,1.0
16_http,500,IForest,0.0,1,random,True,1.0
16_http,500,IForest,0.0,2,random,True,1.0
16_http,500,IForest,0.0,3,random,True,1.0
16_http,500,IForest,0.0,4,random,True,0.9969879518072289
16_http,500,IForest,0.0,0,random,False,1.0
16_http,500,IForest,0.0,1,random,False,1.0
16_http,500,IForest,0.0,2,random,False,1.0
16_http,500,IForest,0.0,3,random,False,1.0
16_http,500,IForest,0.0,4,random,False,1.0
16_http,500,IForest,0.0,0,uncertainty,True,1.0
16_http,500,IForest,0.0,1,uncertainty,True,1.0
16_http,500,IForest,0.0,2,uncertainty,True,0.9999999999999999
16_http,500,IForest,0.0,3,uncertainty,True,1.0
16_http,500,IForest,0.0,4,uncertainty,True,0.9959839357429718
16_http,500,IForest,0.0,0,uncertainty,False,1.0
16_http,500,IForest,0.0,1,uncertainty,False,1.0
16_http,500,IForest,0.0,2,uncertainty,False,0.9999999999999999
16_http,500,IForest,0.0,3,uncertainty,False,1.0
16_http,500,IForest,0.0,4,uncertainty,False,0.995983935742972
16_http,500,IForest,0.0,0,anomalous,True,1.0
16_http,500,IForest,0.0,1,anomalous,True,1.0
16_http,500,IForest,0.0,2,anomalous,True,0.9999999999999999
16_http,500,IForest,0.0,3,anomalous,True,1.0
16_http,500,IForest,0.0,4,anomalous,True,0.995983935742972
16_http,500,IForest,0.0,0,anomalous,False,1.0
16_http,500,IForest,0.0,1,anomalous,False,1.0
16_http,500,IForest,0.0,2,anomalous,False,1.0
16_http,500,IForest,0.0,3,anomalous,False,1.0
16_http,500,IForest,0.0,4,anomalous,False,0.998995983935743
16_http,500,IForest,0.0,0,clusters,True,1.0
16_http,500,IForest,0.0,1,clusters,True,1.0
16_http,500,IForest,0.0,2,clusters,True,1.0
16_http,500,IForest,0.0,3,clusters,True,1.0
16_http,500,IForest,0.0,4,clusters,True,0.9959839357429718
16_http,500,IForest,0.0,0,clusters,False,1.0
16_http,500,IForest,0.0,1,clusters,False,1.0
16_http,500,IForest,0.0,2,clusters,False,1.0
16_http,500,IForest,0.0,3,clusters,False,1.0
16_http,500,IForest,0.0,4,clusters,False,0.9979919678714859
16_http,500,IForest,0.004,0,random,True,1.0
16_http,500,IForest,0.004,1,random,True,1.0
16_http,500,IForest,0.004,2,random,True,0.9999999999999999
16_http,500,IForest,0.004,3,random,True,1.0
16_http,500,IForest,0.004,4,random,True,0.9929718875502008
16_http,500,IForest,0.004,0,random,False,1.0
16_http,500,IForest,0.004,1,random,False,1.0
16_http,500,IForest,0.004,2,random,False,1.0
16_http,500,IForest,0.004,3,random,False,1.0
16_http,500,IForest,0.004,4,random,False,0.9979919678714859
16_http,500,IForest,0.004,0,uncertainty,True,1.0
16_http,500,IForest,0.004,1,uncertainty,True,1.0
16_http,500,IForest,0.004,2,uncertainty,True,1.0
16_http,500,IForest,0.004,3,uncertainty,True,1.0
16_http,500,IForest,0.004,4,uncertainty,True,0.995983935742972
16_http,500,IForest,0.004,0,uncertainty,False,1.0
16_http,500,IForest,0.004,1,uncertainty,False,1.0
16_http,500,IForest,0.004,2,uncertainty,False,1.0
16_http,500,IForest,0.004,3,uncertainty,False,1.0
16_http,500,IForest,0.004,4,uncertainty,False,1.0
16_http,500,IForest,0.004,0,anomalous,True,1.0
16_http,500,IForest,0.004,1,anomalous,True,1.0
16_http,498,IForest,0.004,2,anomalous,True,0.9859437751004017
16_http,500,IForest,0.004,3,anomalous,True,1.0
16_http,500,IForest,0.004,4,anomalous,True,0.9929718875502009
16_http,500,IForest,0.004,0,anomalous,False,1.0
16_http,498,IForest,0.004,1,anomalous,False,0.995983935742972
16_http,499,IForest,0.004,2,anomalous,False,1.0
16_http,498,IForest,0.004,3,anomalous,False,0.9979919678714859
16_http,500,IForest,0.004,4,anomalous,False,0.9959839357429718
16_http,500,IForest,0.004,0,clusters,True,1.0
16_http,500,IForest,0.004,1,clusters,True,1.0
16_http,500,IForest,0.004,2,clusters,True,0.9999999999999999
16_http,498,IForest,0.004,3,clusters,True,0.9959839357429718
16_http,500,IForest,0.004,4,clusters,True,0.998995983935743
16_http,500,IForest,0.004,0,clusters,False,1.0
16_http,500,IForest,0.004,1,clusters,False,1.0
16_http,500,IForest,0.004,2,clusters,False,1.0
16_http,499,IForest,0.004,3,clusters,False,1.0
16_http,500,IForest,0.004,4,clusters,False,0.9969879518072289
16_http,500,IForest,0.006,0,random,True,1.0
16_http,500,IForest,0.006,1,random,True,1.0
16_http,500,IForest,0.006,2,random,True,0.9999999999999999
16_http,500,IForest,0.006,3,random,True,1.0
16_http,500,IForest,0.006,4,random,True,0.998995983935743
16_http,500,IForest,0.006,0,random,False,1.0
16_http,500,IForest,0.006,1,random,False,1.0
16_http,500,IForest,0.006,2,random,False,0.9999999999999999
16_http,500,IForest,0.006,3,random,False,1.0
16_http,500,IForest,0.006,4,random,False,0.9969879518072289
16_http,500,IForest,0.006,0,uncertainty,True,1.0
16_http,500,IForest,0.006,1,uncertainty,True,1.0
16_http,500,IForest,0.006,2,uncertainty,True,1.0
16_http,500,IForest,0.006,3,uncertainty,True,1.0
16_http,500,IForest,0.006,4,uncertainty,True,0.9949799196787148
16_http,500,IForest,0.006,0,uncertainty,False,1.0
16_http,500,IForest,0.006,1,uncertainty,False,1.0
16_http,500,IForest,0.006,2,uncertainty,False,1.0
16_http,500,IForest,0.006,3,uncertainty,False,1.0
16_http,500,IForest,0.006,4,uncertainty,False,0.9979919678714859
16_http,498,IForest,0.006,0,anomalous,True,0.9899598393574297
16_http,498,IForest,0.006,1,anomalous,True,1.0
16_http,498,IForest,0.006,2,anomalous,True,0.9879518072289157
16_http,498,IForest,0.006,3,anomalous,True,1.0
16_http,498,IForest,0.006,4,anomalous,True,0.9397590361445783
16_http,500,IForest,0.006,0,anomalous,False,1.0
16_http,498,IForest,0.006,1,anomalous,False,1.0
16_http,498,IForest,0.006,2,anomalous,False,0.9879518072289155
16_http,498,IForest,0.006,3,anomalous,False,0.9959839357429718
16_http,498,IForest,0.006,4,anomalous,False,0.9492971887550201
16_http,498,IForest,0.006,0,clusters,True,0.9939759036144579
16_http,498,IForest,0.006,1,clusters,True,0.9979919678714859
16_http,500,IForest,0.006,2,clusters,True,1.0
16_http,498,IForest,0.006,3,clusters,True,0.9959839357429718
16_http,500,IForest,0.006,4,clusters,True,0.9929718875502008
16_http,499,IForest,0.006,0,clusters,False,1.0
16_http,499,IForest,0.006,1,clusters,False,1.0
16_http,500,IForest,0.006,2,clusters,False,1.0
16_http,499,IForest,0.006,3,clusters,False,1.0
16_http,500,IForest,0.006,4,clusters,False,0.9919678714859438
16_http,500,IForest,0.008,0,random,True,1.0
16_http,500,IForest,0.008,1,random,True,1.0
16_http,500,IForest,0.008,2,random,True,1.0
16_http,500,IForest,0.008,3,random,True,1.0
16_http,500,IForest,0.008,4,random,True,0.997991967871486
16_http,500,IForest,0.008,0,random,False,1.0
16_http,500,IForest,0.008,1,random,False,1.0
16_http,500,IForest,0.008,2,random,False,0.9999999999999999
16_http,500,IForest,0.008,3,random,False,1.0
16_http,500,IForest,0.008,4,random,False,0.9949799196787148
16_http,500,IForest,0.008,0,uncertainty,True,1.0
16_http,500,IForest,0.008,1,uncertainty,True,1.0
16_http,500,IForest,0.008,2,uncertainty,True,1.0
16_http,500,IForest,0.008,3,uncertainty,True,1.0
16_http,500,IForest,0.008,4,uncertainty,True,0.9969879518072289
16_http,500,IForest,0.008,0,uncertainty,False,1.0
16_http,500,IForest,0.008,1,uncertainty,False,1.0
16_http,500,IForest,0.008,2,uncertainty,False,1.0
16_http,500,IForest,0.008,3,uncertainty,False,1.0
16_http,500,IForest,0.008,4,uncertainty,False,0.9909638554216866
16_http,498,IForest,0.008,0,anomalous,True,0.9939759036144579
16_http,498,IForest,0.008,1,anomalous,True,0.997991967871486
