dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
33_skin,500,KNN,0.0,0,random,True,0.7115626816508427
33_skin,500,KNN,0.0,1,random,True,0.7485952334818833
33_skin,500,KNN,0.0,2,random,True,0.6975150164696765
33_skin,500,KNN,0.0,3,random,True,0.7792578957566364
33_skin,500,KNN,0.0,4,random,True,0.714735516372796
33_skin,500,KNN,0.0,0,random,False,0.7115626816508427
33_skin,500,KNN,0.0,1,random,False,0.7485952334818833
33_skin,500,KNN,0.0,2,random,False,0.6975150164696765
33_skin,500,KNN,0.0,3,random,False,0.7792578957566364
33_skin,500,KNN,0.0,4,random,False,0.714735516372796
33_skin,500,KNN,0.0,0,uncertainty,True,0.7115626816508427
33_skin,500,KNN,0.0,1,uncertainty,True,0.7485952334818833
33_skin,500,KNN,0.0,2,uncertainty,True,0.6975150164696765
33_skin,500,KNN,0.0,3,uncertainty,True,0.7792578957566364
33_skin,500,KNN,0.0,4,uncertainty,True,0.714735516372796
33_skin,500,KNN,0.0,0,uncertainty,False,0.7115626816508427
33_skin,500,KNN,0.0,1,uncertainty,False,0.7485952334818833
33_skin,500,KNN,0.0,2,uncertainty,False,0.6975150164696765
33_skin,500,KNN,0.0,3,uncertainty,False,0.7792578957566364
33_skin,500,KNN,0.0,4,uncertainty,False,0.714735516372796
33_skin,500,KNN,0.0,0,anomalous,True,0.7115626816508427
33_skin,500,KNN,0.0,1,anomalous,True,0.7485952334818833
33_skin,500,KNN,0.0,2,anomalous,True,0.6975150164696765
33_skin,500,KNN,0.0,3,anomalous,True,0.7792578957566364
33_skin,500,KNN,0.0,4,anomalous,True,0.714735516372796
33_skin,500,KNN,0.0,0,anomalous,False,0.7115626816508427
33_skin,500,KNN,0.0,1,anomalous,False,0.7485952334818833
33_skin,500,KNN,0.0,2,anomalous,False,0.6975150164696765
33_skin,500,KNN,0.0,3,anomalous,False,0.7792578957566364
33_skin,500,KNN,0.0,4,anomalous,False,0.714735516372796
33_skin,500,KNN,0.0,0,clusters,True,0.7115626816508427
33_skin,500,KNN,0.0,1,clusters,True,0.7485952334818833
33_skin,500,KNN,0.0,2,clusters,True,0.6975150164696765
33_skin,500,KNN,0.0,3,clusters,True,0.7792578957566364
33_skin,500,KNN,0.0,4,clusters,True,0.714735516372796
33_skin,500,KNN,0.0,0,clusters,False,0.7115626816508427
33_skin,500,KNN,0.0,1,clusters,False,0.7485952334818833
33_skin,500,KNN,0.0,2,clusters,False,0.6975150164696765
33_skin,500,KNN,0.0,3,clusters,False,0.7792578957566364
33_skin,500,KNN,0.0,4,clusters,False,0.714735516372796
33_skin,500,IForest,0.0,0,random,True,0.6512061615965898
33_skin,500,IForest,0.0,1,random,True,0.7043693082735903
33_skin,500,IForest,0.0,2,random,True,0.6287056771943422
33_skin,500,IForest,0.0,3,random,True,0.6401617903507072
33_skin,500,IForest,0.0,4,random,True,0.705992055803139
33_skin,500,IForest,0.0,0,random,False,0.7283956597558612
33_skin,500,IForest,0.0,1,random,False,0.6843392753342376
33_skin,500,IForest,0.0,2,random,False,0.6410337143964349
33_skin,500,IForest,0.0,3,random,False,0.6104679325712071
33_skin,500,IForest,0.0,4,random,False,0.7088258089517535
33_skin,500,IForest,0.0,0,uncertainty,True,0.7111993799651231
33_skin,500,IForest,0.0,1,uncertainty,True,0.6736824258864562
33_skin,500,IForest,0.0,2,uncertainty,True,0.6861557837628367
33_skin,500,IForest,0.0,3,uncertainty,True,0.6733917845378803
33_skin,500,IForest,0.0,4,uncertainty,True,0.6995010656849449
33_skin,500,IForest,0.0,0,uncertainty,False,0.6909755861267196
33_skin,500,IForest,0.0,1,uncertainty,False,0.6698556481302073
33_skin,500,IForest,0.0,2,uncertainty,False,0.6395078473164115
33_skin,500,IForest,0.0,3,uncertainty,False,0.6453933346250726
33_skin,500,IForest,0.0,4,uncertainty,False,0.6960618097267971
33_skin,500,IForest,0.0,0,anomalous,True,0.715341019182329
33_skin,500,IForest,0.0,1,anomalous,True,0.6809726797132339
33_skin,500,IForest,0.0,2,anomalous,True,0.6318542918039141
33_skin,500,IForest,0.0,3,anomalous,True,0.6619598914938966
33_skin,500,IForest,0.0,4,anomalous,True,0.7014871149002132
33_skin,500,IForest,0.0,0,anomalous,False,0.6987502422011238
33_skin,500,IForest,0.0,1,anomalous,False,0.7160676225537685
33_skin,500,IForest,0.0,2,anomalous,False,0.6522718465413679
33_skin,500,IForest,0.0,3,anomalous,False,0.6788655299360589
33_skin,500,IForest,0.0,4,anomalous,False,0.688747335787638
33_skin,500,IForest,0.0,0,clusters,True,0.7424191048246465
33_skin,500,IForest,0.0,1,clusters,True,0.668935283859717
33_skin,500,IForest,0.0,2,clusters,True,0.6640670412710715
33_skin,500,IForest,0.0,3,clusters,True,0.6552751404766517
33_skin,500,IForest,0.0,4,clusters,True,0.6951898856810695
33_skin,500,IForest,0.0,0,clusters,False,0.700494090292579
33_skin,500,IForest,0.0,1,clusters,False,0.703957566363108
33_skin,500,IForest,0.0,2,clusters,False,0.6383210618097268
33_skin,500,IForest,0.0,3,clusters,False,0.6439401278821933
33_skin,500,IForest,0.0,4,clusters,False,0.681505522185623
33_skin,136,KNN,0.004,0,random,True,0.92283472195311
33_skin,500,KNN,0.004,1,random,True,0.7485952334818833
33_skin,500,KNN,0.004,2,random,True,0.6975150164696765
33_skin,356,KNN,0.004,3,random,True,0.93639798488665
33_skin,500,KNN,0.004,4,random,True,0.714735516372796
33_skin,499,KNN,0.004,0,random,False,0.7131127688432475
33_skin,500,KNN,0.004,1,random,False,0.7485952334818833
33_skin,500,KNN,0.004,2,random,False,0.6975150164696765
33_skin,499,KNN,0.004,3,random,False,0.7821885293547762
33_skin,500,KNN,0.004,4,random,False,0.714735516372796
